id,code,name,exchange,sector,industry
1,IPG,"The Interpublic Group of Companies, Inc",US,Communication Services,Advertising Agencies
2,LVS,Las Vegas Sands Corp,US,Consumer Cyclical,Resorts & Casinos
3,WYNN,"Wynn Resorts, Limited",US,Consumer Cyclical,Resorts & Casinos
4,DFS,Discover Financial Services,US,Financial Services,Credit Services
5,TFC,Truist Financial Corporation,US,Financial Services,Banks—Regional
6,GLW,Corning Incorporated,US,Technology,Electronic Components
7,CDW,CDW Corporation,US,Technology,Information Technology Services
8,BBY,"Best Buy Co., Inc",US,Consumer Cyclical,Specialty Retail
9,MYL,Mylan N.V,US,Healthcare,Drug Manufacturers—Specialty & Generic
10,UHS,"Universal Health Services, Inc",US,Healthcare,Medical Care Facilities
11,HOG,"Harley-Davidson, Inc",US,Consumer Cyclical,Recreational Vehicles
12,HON,Honeywell International Inc,US,Industrials,Specialty Industrial Machinery
13,TFX,Teleflex Incorporated,US,Healthcare,Medical Instruments & Supplies
14,MXIM,"Maxim Integrated Products, Inc",US,Technology,Semiconductors
15,ABBV,AbbVie Inc,US,Healthcare,Drug Manufacturers—General
16,AAL,American Airlines Group Inc,US,Industrials,Airlines
17,WMB,"The Williams Companies, Inc",US,Energy,Oil & Gas Midstream
18,IQV,IQVIA Holdings Inc,US,Healthcare,Diagnostics & Research
19,AAP,"Advance Auto Parts, Inc",US,Consumer Cyclical,Specialty Retail
20,WLTW,Willis Towers Watson Public Limited Company,US,Financial Services,Insurance Brokers
21,SEE,Sealed Air Corporation,US,Consumer Cyclical,Packaging & Containers
22,DGX,Quest Diagnostics Incorporated,US,Healthcare,Diagnostics & Research
23,EIX,Edison International,US,Utilities,Utilities—Regulated Electric
24,XOM,Exxon Mobil Corporation,US,Energy,Oil & Gas Integrated
25,RCL,Royal Caribbean Cruises Ltd,US,Consumer Cyclical,Travel Services
26,HPE,Hewlett Packard Enterprise Company,US,Technology,Communication Equipment
27,NLOK,NortonLifeLock Inc,US,Technology,Software—Infrastructure
28,BA,The Boeing Company,US,Industrials,Aerospace & Defense
29,WMT,Walmart Inc,US,Consumer Defensive,Discount Stores
30,TGT,Target Corporation,US,Consumer Defensive,Discount Stores
31,A,"Agilent Technologies, Inc",US,Healthcare,Diagnostics & Research
32,NDAQ,"Nasdaq, Inc",US,Financial Services,Financial Data & Stock Exchanges
33,ABC,AmerisourceBergen Corporation,US,Healthcare,Medical Distribution
34,C,Citigroup Inc,US,Financial Services,Banks—Diversified
35,DHI,"D.R. Horton, Inc",US,Consumer Cyclical,Residential Construction
36,D,"Dominion Energy, Inc",US,Utilities,Utilities—Diversified
37,IRM,Iron Mountain Incorporated,US,Real Estate,REIT—Specialty
38,CFG,"Citizens Financial Group, Inc",US,Financial Services,Banks—Regional
39,F,Ford Motor Company,US,Consumer Cyclical,Auto Manufacturers
40,HPQ,HP Inc,US,Technology,Computer Hardware
41,BK,The Bank of New York Mellon Corporation,US,Financial Services,Asset Management
42,J,Jacobs Engineering Group Inc,US,Industrials,Engineering & Construction
43,K,Kellogg Company,US,Consumer Defensive,Packaged Foods
44,L,Loews Corporation,US,Financial Services,Insurance—Property & Casualty
45,FLS,Flowserve Corporation,US,Industrials,Specialty Industrial Machinery
46,FLIR,"FLIR Systems, Inc",US,Technology,Scientific & Technical Instruments
47,O,Realty Income Corporation,US,Real Estate,REIT—Retail
48,DHR,Danaher Corporation,US,Healthcare,Diagnostics & Research
49,FLT,"FLEETCOR Technologies, Inc",US,Technology,Information Technology Services
50,BR,"Broadridge Financial Solutions, Inc",US,Technology,Information Technology Services
51,NTAP,"NetApp, Inc",US,Technology,Computer Hardware
52,ABT,Abbott Laboratories,US,Healthcare,Medical Devices
53,T,AT&T Inc,US,Communication Services,Telecom Services
54,LYB,LyondellBasell Industries N.V,US,Basic Materials,Specialty Chemicals
55,V,Visa Inc,US,Financial Services,Credit Services
56,BDX,"Becton, Dickinson and Company",US,Healthcare,Medical Instruments & Supplies
57,ZTS,Zoetis Inc,US,Healthcare,Drug Manufacturers—Specialty & Generic
58,VLO,Valero Energy Corporation,US,Energy,Oil & Gas Refining & Marketing
59,LRCX,Lam Research Corporation,US,Technology,Semiconductor Equipment & Materials
60,FMC,FMC Corporation,US,Basic Materials,Agricultural Inputs
61,CB,Chubb Limited,US,Financial Services,Insurance—Property & Casualty
62,NVDA,NVIDIA Corporation,US,Technology,Semiconductors
63,CE,Celanese Corporation,US,Basic Materials,Chemicals
64,CF,"CF Industries Holdings, Inc",US,Basic Materials,Agricultural Inputs
65,JBHT,"J.B. Hunt Transport Services, Inc",US,Industrials,Integrated Freight & Logistics
66,TWTR,"Twitter, Inc",US,Communication Services,Internet Content & Information
67,CI,Cigna Corporation,US,Healthcare,Healthcare Plans
68,LYV,"Live Nation Entertainment, Inc",US,Communication Services,Entertainment
69,CL,Colgate-Palmolive Company,US,Consumer Defensive,Household & Personal Products
70,BEN,"Franklin Resources, Inc",US,Financial Services,Asset Management
71,ACN,Accenture plc,US,Technology,Information Technology Services
72,VMC,Vulcan Materials Company,US,Basic Materials,Building Materials
73,DIS,The Walt Disney Company,US,Communication Services,Entertainment
74,TIF,Tiffany & Co,US,Consumer Cyclical,Luxury Goods
75,IPGP,IPG Photonics Corporation,US,Technology,Semiconductor Equipment & Materials
76,REG,Regency Centers Corporation,US,Real Estate,REIT—Retail
77,HRB,"H&R Block, Inc",US,Consumer Cyclical,Personal Services
78,INCY,Incyte Corporation,US,Healthcare,Biotechnology
79,GPC,Genuine Parts Company,US,Consumer Cyclical,Specialty Retail
80,FAST,Fastenal Company,US,Industrials,Industrial Distribution
81,CTAS,Cintas Corporation,US,Industrials,Specialty Business Services
82,CHD,"Church & Dwight Co., Inc",US,Consumer Defensive,Household & Personal Products
83,AMZN,"Amazon.com, Inc",US,Consumer Cyclical,Internet Retail
84,ALXN,"Alexion Pharmaceuticals, Inc",US,Healthcare,Biotechnology
85,DD,"DuPont de Nemours, Inc",US,Basic Materials,Chemicals
86,DE,Deere & Company,US,Industrials,Farm & Heavy Construction Machinery
87,CINF,Cincinnati Financial Corporation,US,Financial Services,Insurance—Property & Casualty
88,HRL,Hormel Foods Corporation,US,Consumer Defensive,Packaged Foods
89,DG,Dollar General Corporation,US,Consumer Defensive,Discount Stores
90,GPN,Global Payments Inc,US,Industrials,Specialty Business Services
91,ADI,"Analog Devices, Inc",US,Technology,Semiconductors
92,MKTX,MarketAxess Holdings Inc,US,Financial Services,Capital Markets
93,ADM,Archer-Daniels-Midland Company,US,Consumer Defensive,Farm Products
94,GPS,"The Gap, Inc",US,Consumer Cyclical,Apparel Retail
95,INFO,IHS Markit Ltd,US,Industrials,Consulting Services
96,ADP,"Automatic Data Processing, Inc",US,Industrials,Staffing & Employment Services
97,ITW,Illinois Tool Works Inc,US,Industrials,Specialty Industrial Machinery
98,ADS,Alliance Data Systems Corporation,US,Financial Services,Credit Services
99,VNO,Vornado Realty Trust,US,Real Estate,REIT—Office
100,XRAY,DENTSPLY SIRONA Inc,US,Healthcare,Medical Instruments & Supplies
101,EA,Electronic Arts Inc,US,Communication Services,Electronic Gaming & Multimedia
102,PAYC,"Paycom Software, Inc",US,Technology,Software—Application
