id,date,index,code_firm,exchange
18686,2003-03-31,SP500,IPG,US
18687,2003-03-31,SP500,LVS,US
18688,2003-03-31,SP500,WYNN,US
18689,2003-03-31,SP500,DFS,US
18690,2003-03-31,SP500,TFC,US
18691,2003-03-31,SP500,GLW,US
18692,2003-03-31,SP500,CDW,US
18693,2003-03-31,SP500,BBY,US
18694,2003-03-31,SP500,MYL,US
18695,2003-03-31,SP500,UHS,US
18696,2003-03-31,SP500,HOG,US
18697,2003-03-31,SP500,HON,US
18698,2003-03-31,SP500,TFX,US
18699,2003-03-31,SP500,MXIM,US
18700,2003-03-31,SP500,ABBV,US
18701,2003-03-31,SP500,AAL,US
18702,2003-03-31,SP500,WMB,US
18703,2003-03-31,SP500,IQV,US
18704,2003-03-31,SP500,AAP,US
18705,2003-03-31,SP500,WLTW,US
18706,2003-03-31,SP500,SEE,US
18707,2003-03-31,SP500,DGX,US
18708,2003-03-31,SP500,EIX,US
18709,2003-03-31,SP500,XOM,US
18710,2003-03-31,SP500,RCL,US
18711,2003-03-31,SP500,HPE,US
18712,2003-03-31,SP500,NLOK,US
18713,2003-03-31,SP500,BA,US
18714,2003-03-31,SP500,WMT,US
18715,2003-03-31,SP500,TGT,US
18716,2003-03-31,SP500,A,US
18717,2003-03-31,SP500,NDAQ,US
18718,2003-03-31,SP500,ABC,US
18719,2003-03-31,SP500,C,US
18720,2003-03-31,SP500,DHI,US
18721,2003-03-31,SP500,D,US
18722,2003-03-31,SP500,IRM,US
18723,2003-03-31,SP500,CFG,US
18724,2003-03-31,SP500,F,US
18725,2003-03-31,SP500,HPQ,US
18726,2003-03-31,SP500,BK,US
18727,2003-03-31,SP500,J,US
18728,2003-03-31,SP500,K,US
18729,2003-03-31,SP500,L,US
18730,2003-03-31,SP500,FLS,US
18731,2003-03-31,SP500,FLIR,US
18732,2003-03-31,SP500,O,US
18733,2003-03-31,SP500,DHR,US
18734,2003-03-31,SP500,FLT,US
18735,2003-03-31,SP500,BR,US
18736,2003-03-31,SP500,NTAP,US
18737,2003-03-31,SP500,ABT,US
18738,2003-03-31,SP500,T,US
18739,2003-03-31,SP500,LYB,US
18740,2003-03-31,SP500,V,US
18741,2003-03-31,SP500,BDX,US
18742,2003-03-31,SP500,ZTS,US
18743,2003-03-31,SP500,VLO,US
18744,2003-03-31,SP500,LRCX,US
18745,2003-03-31,SP500,FMC,US
18746,2003-03-31,SP500,CB,US
18747,2003-03-31,SP500,NVDA,US
18748,2003-03-31,SP500,CE,US
18749,2003-03-31,SP500,CF,US
18750,2003-03-31,SP500,JBHT,US
18751,2003-03-31,SP500,TWTR,US
18752,2003-03-31,SP500,CI,US
